X longitude,Y Latitude,ID,Nama Objek,Alamat,Kontak,Type,Desa,Kecamatan,Kabupaten,Prov,Master_category
-7.81259000000,110.35290241200,3471010001,ATFG-8 (Alat Terapi Fisik Gondo),"JL. Sugeng Jeroni, No. 6, Gedong Kiwo, Mantrijeron, Yogyakarta, 55142","274 381 553, 0274 857 0099",Clinic,Gedongkiwo,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.82152100000,110.36472610000,3471010003,Apotik Wipa,"JL Mantrijeron, No. 30, Yogyakarta, DI Yogyakarta",0274 375 297,Pharmacy,Mantrijeron,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81948634501,110.35591141900,3471010002,Kusni Sri Marwati AMd Keb. Bidan,"JL. Bantul, Yogyakarta, DI Yogyakarta",0274 7474 835,Clinic,Suryodiningratan,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.82163439895,110.35545576400,3471010002,Toko Habbats,"JL. Bantul, Sewon, Yogyakarta, DI Yogyakarta",0813 2828 0816,Pharmacy,Suryodiningratan,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81731200000,110.36211200000,3471010002,Puskesmas Mantri Jeron Kota Yogyakarta,"JL. Panjaitan, No. 82, Yogyakarta, DI Yogyakarta",0274 388 679,Public Health Service,Suryodiningratan,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81828065973,110.36425033200,3471010003,Klinik Sari Asih,"JL. Tirtodipuran, No. 38, Yogyakarta, DI Yogyakarta",0274 387 664,Clinic,Mantrijeron,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81855440000,110.35322290000,3471010001,Toko Herbal Tanti,"Dukuh, MJ 1/1384 RT 72 Rw. 15, Gedungkiwo, Mantrijeron, Yogyakarta, DI Yogyakarta, 55142",0813 2802 6931,Pharmacy,Gedongkiwo,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.82389623663,110.36412842300,3471010003,Suhardi Darmaatmadja. Sp.PD,"JL. Jogokaryan, No. 59, Yogyakarta, DI Yogyakarta",0274 374 493,Clinic,Mantrijeron,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81895500000,110.36221100000,3471010003,Klinik Khitanan Paramedika Yogyakarta,"JL. DI Panjaitan, No. 66, Mantrijeron, Yogyakarta, DI Yogyakarta, 55141",0821 3601 8755,Clinic,Mantrijeron,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81937935992,110.35536622000,3471010002,UD. Juragan Jamu,"JL. Bantul Km. 9, Yogyakarta, DI Yogyakarta",0878 3877 8700,Pharmacy,Suryodiningratan,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
